Y,STATEQ,CENSUSDIV,CENSUSREG,A2,A3,A3A,A3B,A4_1,A4_2,A4_3,A4_4_2015,A4_5,A4_6,A4_99,A4A,A5_2015,A6,A7,A7A,A11,A8,AM21,AM30,AM31,AM32,AM22,X3,X4,A9,A10,A10A,AM7_2012,A21_2015,A22_2015,A14,J1,J2,J3,J4,J5,J6,J8,J9,J10,J20,J32,J33_1,B1,B2,B4,B31,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,EA_1,E7,E8,E20,E15_2015,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F10,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G33,G35,G22_2015,G25_1,G25_2,G25_4,G25_5,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M6,M7,M8,M31,M9,M10,wgt_n2,wgt_d2,wgt_s3,time,M6new,M7new,M8new,M9new,M10new,M31new,literacy,M6right,M7right,M8right,M9right,M10right,M31right,logA3A,logA3Asq,J2sq
-1.135158577,14,3,2,60067,1,32,2,1,0,0,0,0,0,0,1,4,1,1,1,1,5,1,NA,NA,NA,1,2,1,2,2,1,2,2,NA,1,9,9,2,1,1,1,1,NA,1,1,4,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,4,1,2,4,3,5,1,6,1,1,1,1,6,6,6,1,NA,NA,NA,NA,1,1,1,3,1,1,1.01897015,0.98938882,1.19471771,0,>$102,More,Rise,TRUE,TRUE,10-May,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3.465735903,12.01132535,81
-0.646803205,2,9,4,99507,2,39,9,1,0,0,0,0,0,0,1,6,1,1,1,2,6,1,NA,NA,NA,1,2,1,2,2,1,9,NA,NA,1,9,9,1,2,1,1,1,NA,1,1,5,6,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,3,1,2,3,3,3,1,7,1,1,1,1,6,6,6,1,NA,NA,NA,NA,2,2,1,2,1,1,1.16326021,0.05830316,0.46244632,0,=$102,Exactly,Rise,TRUE,TRUE,5-Feb,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3.663561646,13.42168393,81
-0.337058991,15,3,2,47348,1,27,2,1,0,0,0,0,0,0,1,6,1,2,1,2,5,1,NA,NA,NA,1,2,1,3,3,1,1,NA,NA,1,8,9,2,2,1,1,1,NA,1,2,4,6,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,3,1,2,2,1,2,2,1,1,1,1,0,0,0,0,0,0,0,1,4,1,4,3,2,3,1,5,1,2,1,1,7,6,6,1,NA,NA,NA,NA,2,1,1,1,1,NA,1.31543862,0.77740051,0.95619116,0,=$102,More,Rise,TRUE,DK,<2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3.295836866,10.86254065,81
1.455852482,12,9,4,96744,1,38,3,1,0,0,1,0,0,0,5,6,1,2,1,2,7,3,NA,NA,NA,3,1,NA,2,2,1,NA,NA,NA,1,9,7,1,3,1,1,1,NA,2,1,5,5,1,1,2,2,1,3,1,1,1,2,2,1,1,1,2,2,1,3,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,1,2,1,1,2,2,2,NA,7,7,2,2,1,2,NA,2,NA,1,NA,1,NA,0.88452069,0.09672104,0.68528377,0,=$102,DK,Rise,TRUE,DK,DK,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3.63758616,13.23203307,49
0.691654925,17,4,2,66607,2,25,8,1,0,0,0,0,0,0,1,6,1,2,1,1,5,3,NA,NA,NA,3,1,NA,2,2,1,NA,NA,NA,1,7,4,3,3,2,1,1,NA,2,1,3,6,1,1,2,2,1,3,2,1,1,2,2,1,1,1,2,2,1,3,2,1,1,2,2,2,1,2,2,1,1,0,0,0,0,0,0,1,2,2,1,1,1,1,2,3,1,2,2,2,6,4,6,1,NA,NA,NA,NA,1,3,1,2,1,2,0.32076829,0.70246901,0.67190674,0,>$102,Less,Rise,TRUE,FALSE,5-Feb,5,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3.218875825,10.36116158,16
-0.495318757,48,9,4,98433,2,35,9,1,0,1,0,0,0,0,3,5,1,1,1,3,5,1,NA,NA,NA,1,2,1,4,4,1,1,1,3,1,10,10,2,2,1,1,1,NA,1,3,5,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,6,1,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,1,4,1,5,5,4,5,1,7,1,1,1,1,7,6,7,2,1,1,1,1,1,1,1,3,1,1,2.99908294,0.78735636,1.23578123,0,>$102,More,Rise,TRUE,TRUE,10-May,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3.555348061,12.64049984,100
1.60733693,33,2,1,10025,1,30,2,1,0,0,0,0,0,0,1,7,1,2,1,4,7,3,NA,NA,NA,3,1,NA,2,2,1,NA,NA,NA,1,10,10,1,3,1,1,1,NA,1,1,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,4,1,2,1,1,3,2,1,1,2,2,2,6,7,7,1,NA,NA,NA,NA,1,1,1,1,1,1,0.98061499,0.8230432,0.83776878,0,>$102,More,Rise,TRUE,TRUE,<2,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3.401197382,11.56814363,100
0.223650945,44,7,3,78418,1,28,2,1,0,0,0,0,0,0,1,6,1,2,1,2,5,1,NA,NA,NA,1,2,1,2,2,1,2,NA,NA,1,10,10,2,3,1,1,1,NA,1,1,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,4,1,5,5,5,5,1,7,1,1,1,1,7,6,7,2,1,1,1,1,1,1,1,2,1,1,0.6266427,1.41383274,0.77545762,0,>$102,More,Rise,TRUE,TRUE,5-Feb,3,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3.33220451,11.1035869,100
0.540170478,5,9,4,91730,2,35,9,0,0,0,1,0,0,0,4,4,1,2,1,1,6,3,NA,NA,NA,3,1,NA,3,3,1,NA,2,NA,1,6,8,1,3,1,1,1,NA,2,1,5,6,1,1,2,3,2,NA,NA,1,1,2,2,1,1,1,1,2,1,4,1,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0,NA,NA,NA,1,1,1,3,2,3,1,2,2,2,6,5,6,3,NA,NA,NA,NA,1,3,NA,NA,1,NA,1.08552252,3.02113235,1.43528447,0,>$102,Less,DK,TRUE,DK,DK,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3.555348061,12.64049984,64
-1.21428846,6,8,4,80203,2,34,8,0,1,0,0,0,0,0,2,7,1,1,1,2,8,1,NA,NA,NA,1,2,1,2,2,1,4,NA,NA,1,10,10,2,1,1,1,1,NA,1,1,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,4,1,4,5,3,2,1,7,1,1,1,1,7,7,7,1,NA,NA,NA,NA,1,1,1,4,1,1,0.32925318,1.08254813,0.74687111,0,>$102,More,Rise,TRUE,TRUE,4,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3.526360525,12.43521855,100
